accX,accY,accZ,gyroX,gyroY,gyroZ
0.50,-0.27,1.57,7.93,-48.42,-8.88
0.50,-0.28,1.59,1.31,-13.94,-1.40
0.55,-0.37,1.64,-8.18,0.56,-3.75
0.46,-0.48,1.87,-9.49,28.89,-8.45
0.33,-0.47,1.95,18.95,34.03,-7.77
0.19,-0.30,1.84,39.24,28.89,-3.88
0.16,-0.23,1.72,35.19,16.40,-0.25
0.12,-0.17,1.68,22.60,12.25,-0.27
0.04,-0.09,1.63,21.06,11.21,3.72
0.05,-0.01,1.56,19.15,1.08,12.34
0.14,0.01,1.47,11.99,-0.39,22.64
0.27,-0.06,1.52,-3.14,3.88,21.80
0.32,-0.10,1.59,-9.47,8.15,9.45
0.33,-0.10,1.65,-7.59,6.87,-4.52
0.30,-0.05,1.66,-12.33,-3.96,-13.96
0.35,-0.07,1.64,-16.80,-15.30,-22.23
0.39,-0.05,1.57,-26.28,-24.53,-33.04
0.42,-0.02,1.48,-28.05,-21.00,-45.27
0.37,0.01,1.45,-22.84,-10.58,-54.09
0.33,0.03,1.44,-23.25,-13.76,-61.79
0.34,0.02,1.45,-33.73,-20.17,-70.46
0.33,0.03,1.44,-34.90,-27.37,-81.02
0.36,0.03,1.44,-37.08,-28.70,-91.11
0.36,0.01,1.51,-36.53,-21.97,-98.87
0.35,0.05,1.53,-22.65,-23.05,-102.87
0.44,0.02,1.54,-21.39,-21.45,-104.57
0.50,-0.02,1.61,-26.66,-11.36,-111.20
0.52,-0.03,1.67,-22.11,0.52,-119.39
0.50,-0.04,1.74,-12.86,11.81,-123.06
0.44,-0.01,1.78,-0.33,19.55,-119.55
0.44,-0.01,1.74,19.90,21.64,-110.76
0.44,0.02,1.72,18.19,16.34,-108.70
0.40,0.06,1.64,15.12,5.36,-110.49
0.38,0.10,1.58,12.93,-4.10,-110.23
0.38,0.12,1.54,15.50,-8.36,-106.00
0.39,0.14,1.52,10.51,-9.28,-100.30
0.39,0.17,1.47,7.23,-6.20,-95.63
0.42,0.15,1.49,0.05,-1.80,-92.83
0.40,0.07,1.58,3.57,6.18,-95.71
0.34,0.11,1.53,15.76,2.29,-98.24
0.31,0.14,1.44,10.12,-1.22,-97.71
0.32,0.11,1.44,2.89,-2.52,-96.57
0.30,0.13,1.42,-2.41,-4.43,-98.36
0.28,0.14,1.38,-4.98,-5.54,-99.75
0.25,0.21,1.30,-0.47,0.74,-96.05
0.21,0.25,1.24,2.77,13.24,-88.12
0.22,0.25,1.31,-9.37,8.82,-82.22
0.21,0.26,1.30,-12.92,3.97,-80.99
0.17,0.25,1.41,-18.89,7.68,-74.13
0.12,0.24,1.50,-15.79,-2.32,-62.73
0.21,0.23,1.48,-18.80,-18.63,-54.76
0.29,0.19,1.55,-20.45,-18.51,-49.52
0.32,0.14,1.70,-5.61,-3.01,-45.77
0.23,0.20,1.86,12.79,5.26,-36.35
0.20,0.22,2.00,26.10,3.92,-22.54
0.18,0.28,2.00,29.15,-14.98,-7.71
0.23,0.22,2.00,4.64,-32.75,3.97
0.19,0.03,2.00,-19.94,-34.00,5.34
-0.00,-0.01,2.00,0.10,-44.36,3.81
0.05,0.06,1.94,31.65,-70.31,5.87
0.09,0.12,1.65,29.59,-52.29,7.85
0.05,0.14,1.53,29.46,-30.69,5.89
0.00,0.16,1.45,39.63,-9.27,5.91
-0.06,0.19,1.39,33.91,1.76,7.03
-0.10,0.19,1.37,29.84,7.01,11.40
-0.04,0.21,1.27,33.78,3.62,16.14
0.04,0.24,1.20,24.83,4.70,18.14
0.08,0.26,1.16,10.73,10.02,20.87
0.16,0.25,1.22,-2.20,12.79,20.03
0.14,0.27,1.26,4.88,28.57,19.30
0.06,0.34,1.31,14.31,40.90,25.40
0.04,0.36,1.43,5.00,28.35,32.94
0.11,0.36,1.46,-6.40,5.51,37.65
0.19,0.34,1.51,-9.60,3.28,42.91
0.18,0.33,1.63,-3.87,8.05,46.13
0.26,0.30,1.72,2.06,-4.51,45.22
0.31,0.27,1.85,5.94,-1.91,40.50
0.32,0.29,1.89,19.95,0.48,34.48
0.33,0.35,1.92,26.27,3.17,29.08
0.33,0.34,2.00,23.64,2.83,20.96
0.31,0.32,2.00,32.50,0.63,8.57
0.26,0.59,1.90,52.33,-7.95,5.04
0.34,0.74,1.64,65.00,-4.49,15.72
0.47,0.61,1.67,40.02,22.08,19.01
0.33,0.33,1.84,12.56,53.35,11.28
0.14,0.10,2.00,-1.72,40.76,0.38
0.06,0.13,1.83,20.70,-2.90,-2.89
0.22,0.21,1.47,40.31,-26.99,-0.92
0.27,0.20,1.32,27.94,-5.59,-1.56
0.23,0.23,1.30,32.73,14.91,-2.39
0.15,0.27,1.29,34.73,26.48,2.76
0.10,0.24,1.30,25.90,25.42,9.27
0.10,0.21,1.28,15.73,12.39,13.33
0.16,0.13,1.30,1.67,1.46,15.69
0.17,0.12,1.34,-6.42,2.01,16.36
0.12,0.15,1.42,-7.61,0.22,19.18
0.09,0.23,1.33,5.11,-11.34,26.27
0.18,0.30,1.24,6.09,-23.38,30.72
0.28,0.32,1.21,-3.04,-16.62,30.43
0.22,0.33,1.36,-24.48,6.55,30.57
0.07,0.35,1.52,-25.93,17.94,39.86
0.07,0.32,1.61,-10.31,5.84,51.96
0.18,0.27,1.62,-4.84,-7.19,54.88
0.24,0.22,1.66,-10.25,-0.29,49.84
0.16,0.31,1.73,-5.99,10.10,44.89
0.09,0.41,1.68,7.67,16.60,48.93
0.11,0.41,1.74,25.68,29.85,61.04
0.18,0.36,1.84,48.39,43.77,66.31
0.21,0.43,1.87,49.33,41.44,67.22
0.24,0.60,1.92,38.93,35.21,71.07
0.19,0.64,1.73,40.64,49.41,85.95
0.14,0.58,1.76,15.24,58.41,101.94
0.21,0.21,1.97,-19.91,38.87,99.01
0.16,-0.07,2.00,-48.29,13.89,78.43
0.04,-0.06,2.00,-21.80,-3.81,69.65
0.11,0.06,1.65,26.68,-16.41,71.29
0.16,0.14,1.36,30.74,2.67,69.69
0.16,0.17,1.27,28.39,21.29,62.48
0.11,0.22,1.22,33.53,35.47,56.59
0.07,0.20,1.29,19.69,37.14,54.17
0.05,0.17,1.34,8.93,31.05,56.87
0.10,0.14,1.38,6.18,26.01,61.37
0.11,0.13,1.44,4.13,27.71,65.32
0.09,0.15,1.48,11.47,24.51,68.60
0.04,0.23,1.53,7.35,13.49,72.37
0.06,0.27,1.50,5.98,-4.22,79.22
0.12,0.25,1.54,3.61,-10.51,82.88
0.12,0.26,1.61,4.99,-13.50,81.09
0.12,0.31,1.61,8.61,-18.52,79.85
0.18,0.33,1.66,14.93,-21.50,77.22
0.26,0.37,1.65,20.46,-26.61,66.77
0.33,0.40,1.68,23.32,-22.02,53.15
0.40,0.41,1.78,31.11,-8.32,38.36
0.40,0.37,1.94,29.09,4.62,23.74
0.25,0.47,2.00,43.89,27.89,18.77
0.19,0.71,1.86,72.53,18.82,27.05
0.29,0.76,1.51,54.31,19.74,40.85
0.43,0.47,1.70,-18.33,41.31,40.73
0.10,-0.11,2.00,-63.02,84.95,33.26
-0.18,-0.27,2.00,-16.75,44.44,38.55
-0.02,-0.01,1.66,71.98,-34.89,44.73
0.30,0.07,1.30,64.30,-27.37,38.75
0.24,0.12,1.15,41.32,27.11,34.39
0.09,0.20,1.28,35.11,48.67,42.57
0.06,0.23,1.39,37.28,42.46,54.74
0.10,0.30,1.39,26.76,12.24,59.98
0.20,0.27,1.32,14.93,-6.21,63.74
0.30,0.26,1.30,-0.79,-8.48,67.74
0.29,0.24,1.35,-12.86,6.62,69.30
0.30,0.21,1.38,-5.39,5.13,66.31
0.32,0.24,1.34,-8.88,1.18,62.57
0.34,0.24,1.37,-21.19,0.40,59.24
0.34,0.24,1.38,-21.70,-1.21,49.98
