accX,accY,accZ,gyroX,gyroY,gyroZ
0.00,-0.00,1.00,0.02,-0.08,0.08
-0.00,-0.00,1.00,0.04,-0.11,-0.05
0.00,0.00,1.00,0.03,-0.07,-0.02
0.00,0.00,1.00,0.01,-0.12,-0.03
0.00,0.00,1.00,0.05,-0.12,-0.02
0.00,0.00,1.00,0.06,-0.23,0.07
0.00,-0.00,1.00,-0.05,-0.12,0.10
0.00,-0.00,1.00,0.03,-0.07,-0.02
0.00,-0.00,1.00,0.00,-0.24,-0.01
0.00,0.00,1.00,-0.01,-0.07,0.12
0.00,0.00,1.00,0.02,-0.18,-0.02
0.00,0.00,0.99,0.07,-0.15,0.05
0.00,0.00,1.00,-0.05,-0.10,-0.04
0.00,-0.00,1.00,-0.11,-0.23,0.04
0.00,0.00,1.00,-0.04,-0.21,0.02
0.00,-0.00,1.00,-0.02,-0.18,0.02
0.00,0.00,1.00,0.11,-0.14,0.08
0.00,0.00,1.00,-0.10,-0.10,-0.02
-0.01,0.03,1.00,-0.89,0.23,-4.77
0.08,0.01,1.02,-6.91,-1.25,-38.06
0.00,-0.01,0.99,-7.13,3.92,-48.46
0.01,-0.02,1.00,-5.29,1.75,-34.05
0.00,-0.03,0.99,-1.93,1.30,-11.88
0.00,0.00,1.00,0.02,-0.08,-0.16
0.00,0.00,1.00,-0.05,-0.01,0.04
0.00,0.00,1.00,0.06,-0.07,0.00
0.00,0.00,0.99,-0.07,-0.21,0.12
0.00,0.00,1.00,-0.01,-0.14,0.13
0.00,0.00,1.00,0.00,-0.13,0.07
0.00,0.00,1.00,-0.04,-0.19,0.02
-0.00,0.00,1.00,0.08,-0.17,0.06
0.00,-0.00,1.00,-0.01,-0.05,0.06
0.00,0.00,1.00,0.03,-0.08,0.08
0.00,0.00,1.00,-0.02,-0.12,0.02
0.00,0.00,1.00,-0.02,-0.18,0.02
0.00,0.00,1.00,0.05,-0.13,0.03
0.00,-0.00,1.00,-0.10,-0.16,0.13
0.00,-0.00,1.00,-0.05,-0.09,0.14
0.00,0.00,1.00,-0.04,-0.09,0.02
0.00,0.00,1.00,0.05,-0.14,0.02
0.00,0.00,1.00,0.02,-0.09,0.13
0.00,0.00,1.00,0.04,0.02,0.10
0.00,0.00,1.00,0.01,-0.18,0.15
0.00,0.00,1.00,-0.06,-0.14,0.13
0.00,0.00,1.00,0.02,-0.19,0.02
0.00,0.00,1.00,-0.04,-0.13,0.04
0.00,0.00,1.00,-0.01,-0.23,0.04
-0.00,0.00,1.00,0.00,-0.25,0.11
0.00,0.00,1.00,0.04,-0.15,-0.02
-0.00,0.01,1.00,-0.38,0.17,-1.89
-0.00,0.01,1.00,-2.23,0.40,-12.57
0.00,-0.01,1.00,-1.34,1.47,-13.60
0.01,-0.01,1.00,-0.39,-0.30,-3.53
0.00,0.00,1.00,0.06,-0.12,0.00
0.00,-0.00,1.00,-0.11,-0.14,-0.01
-0.00,0.00,1.00,0.01,-0.12,-0.08
0.00,0.00,1.00,-0.08,-0.10,-0.66
0.00,0.00,1.00,0.13,-0.19,-0.05
-0.00,0.00,1.00,-0.08,-0.11,-0.74
0.00,0.01,1.00,-0.68,0.10,-3.71
-0.01,0.01,1.00,-2.19,-0.20,-12.01
-0.00,-0.00,1.00,-2.14,-1.29,-11.71
0.01,-0.00,1.00,-1.19,0.08,-6.71
-0.00,-0.00,1.00,-0.36,0.08,-1.57
-0.03,-0.03,1.00,-0.05,0.18,0.24
-0.02,0.02,1.01,0.34,2.41,-1.30
-0.06,-0.02,0.99,-1.07,-1.26,-1.90
0.02,0.02,0.97,-0.50,-9.00,9.41
0.03,0.02,0.98,-2.39,-3.44,17.66
0.01,0.03,0.99,-13.84,-14.78,11.99
