accX,accY,accZ,gyroX,gyroY,gyroZ
0.17,0.02,1.89,0.42,-23.37,33.42
0.12,-0.00,1.81,7.10,-19.89,-2.03
0.02,0.03,1.74,22.12,-16.94,1.00
-0.01,0.14,1.55,39.05,-3.01,5.72
0.09,0.05,1.39,42.53,-5.31,6.16
0.19,-0.02,1.33,-6.52,-44.16,23.74
0.25,0.16,1.25,-19.22,-46.27,9.16
0.11,0.12,1.22,-30.36,-43.38,5.00
0.25,-0.01,1.31,-37.07,-70.37,-1.55
0.23,0.04,1.32,-49.16,-76.80,-8.38
0.18,-0.07,1.30,-69.63,-73.29,-13.63
0.13,-0.02,1.42,-35.25,-41.57,-15.79
0.09,0.19,1.66,6.97,-36.16,-15.28
-0.01,0.34,1.58,-3.81,-42.27,1.82
0.01,0.24,1.59,-23.41,-60.00,27.07
0.02,0.13,1.68,-31.43,-61.49,49.41
0.23,-0.24,1.84,-22.98,-108.29,32.46
0.31,-0.30,1.89,-1.69,-107.65,19.63
0.26,-0.08,1.91,31.20,-61.84,26.41
0.08,0.09,1.67,40.62,-33.16,40.39
0.06,0.07,1.78,24.55,-13.24,60.10
0.00,0.07,1.96,8.70,5.92,70.47
0.05,0.02,2.00,12.99,-5.74,72.83
0.05,-0.08,2.00,60.94,-5.48,73.53
0.23,-0.01,1.97,57.27,2.44,81.39
0.24,0.02,1.87,77.04,34.44,74.75
0.18,0.07,1.79,88.50,74.56,66.60
0.06,0.32,1.76,68.61,101.16,62.56
-0.03,0.23,1.84,8.11,81.14,75.95
0.04,0.18,1.64,16.92,76.37,88.01
0.07,0.29,1.37,-5.10,87.59,92.32
0.01,0.21,1.44,-31.87,107.15,86.74
-0.02,0.37,1.35,-25.05,97.47,90.48
0.03,0.43,1.18,-58.94,39.13,95.50
0.23,0.11,1.35,-80.23,-2.92,79.91
0.48,-0.08,1.27,-18.62,-25.99,44.33
0.49,0.22,1.00,45.41,20.96,24.44
0.58,0.23,1.51,21.45,17.32,41.34
0.74,0.03,1.74,41.42,-25.99,43.24
0.89,-0.04,1.66,79.32,-65.16,27.96
0.94,-0.02,1.31,90.87,-85.43,3.94
0.96,0.22,1.26,60.10,-42.32,1.36
0.95,0.10,1.97,43.06,-15.35,21.45
1.13,-0.05,2.00,67.28,-20.77,32.03
1.24,-0.18,2.00,59.30,-51.45,10.65
1.24,-0.18,1.87,3.04,-79.35,-27.79
1.07,-0.07,1.91,-37.89,-68.57,-49.42
0.91,-0.11,2.00,-29.79,-41.57,-52.96
0.84,-0.09,1.95,-17.64,-24.20,-53.81
0.73,-0.15,1.92,-22.83,-28.80,-69.50
0.48,-0.08,1.62,-29.22,-26.39,-82.92
0.28,-0.13,1.67,-46.03,-9.57,-81.43
0.10,-0.01,1.69,-24.97,-11.75,-72.72
0.01,0.01,1.46,6.81,-33.14,-53.83
-0.16,-0.11,0.88,40.12,-28.89,-48.77
-0.34,-0.01,0.65,18.59,8.91,-25.78
-0.40,-0.13,1.03,-12.60,14.39,9.31
-0.39,-0.21,1.01,-3.88,-12.83,16.75
-0.33,-0.09,0.80,-9.29,-16.04,7.43
-0.51,0.22,0.71,-1.61,28.05,-7.19
-0.67,0.60,1.13,-33.13,27.71,34.68
-0.35,0.51,1.42,-94.20,-14.27,100.19
-0.01,0.08,1.97,-82.81,-0.72,122.60
0.10,-0.31,2.00,3.62,59.23,134.05
0.42,-0.38,2.00,21.84,65.15,166.08
0.88,-0.65,2.00,-31.26,-10.09,165.65
1.01,-0.38,2.00,-1.52,-45.97,110.22
0.97,-0.02,1.97,40.08,-16.13,85.25
0.82,0.13,1.61,49.05,60.41,77.77
0.73,0.16,1.53,63.60,104.52,70.44
0.75,0.31,1.42,71.62,84.88,57.52
0.76,0.23,1.23,52.25,35.94,52.19
0.69,0.26,0.89,55.12,4.89,35.66
0.66,0.33,0.74,35.27,-10.12,27.49
0.81,0.31,0.89,7.55,-46.04,15.95
0.99,0.13,0.79,8.69,-55.90,-26.18
0.87,0.23,0.76,19.17,-26.44,-85.71
0.56,0.36,1.48,-15.05,-13.04,-108.32
0.65,0.38,1.99,-17.04,-20.00,-81.54
0.99,-0.03,2.00,-21.55,-3.04,-77.95
0.91,-0.73,2.00,-51.24,4.81,-100.45
0.76,-0.67,2.00,-20.74,1.65,-137.73
0.51,-0.11,2.00,32.19,-29.46,-152.52
0.39,0.07,1.66,1.85,-34.83,-128.67
0.43,0.05,1.53,-20.31,-23.86,-100.52
0.42,-0.07,1.40,-22.58,-7.73,-86.32
0.21,-0.23,1.47,-6.07,10.26,-81.55
-0.01,-0.18,1.46,18.52,-3.85,-69.31
-0.25,-0.19,1.38,35.07,-34.59,-42.64
-0.31,-0.42,0.97,43.04,-57.14,-21.98
-0.39,-0.32,0.75,66.68,-29.56,-32.28
-0.57,0.05,0.95,39.80,-33.82,-15.72
-0.41,0.49,1.07,50.62,-47.93,12.31
-0.63,0.51,1.07,52.56,-19.31,56.91
-0.03,0.07,1.70,-3.11,-34.77,120.90
0.22,-0.27,2.00,-55.77,-34.65,141.70
0.67,-0.86,2.00,-28.56,0.76,145.25
0.81,-0.98,2.00,46.96,49.26,82.95
0.38,0.23,2.00,84.40,78.48,27.16
0.42,0.02,2.00,4.82,9.97,59.39
0.38,0.06,1.59,28.09,19.36,54.03
0.41,0.44,1.48,15.43,37.26,59.83
0.56,0.43,1.32,7.67,26.70,80.02
0.71,0.29,1.21,24.11,16.37,83.71
0.80,0.21,1.04,48.13,-8.00,68.19
0.86,0.18,0.73,65.09,-32.31,38.22
0.85,0.21,0.54,54.00,-38.50,-1.56
0.67,0.44,0.73,53.05,-50.51,-35.80
0.54,0.47,0.98,55.07,-80.11,-36.48
0.82,0.66,0.66,62.42,-68.95,-52.02
0.68,-0.18,1.80,8.08,43.81,-62.16
0.60,0.09,2.00,35.42,73.62,-79.40
0.32,-0.22,2.00,11.94,-10.49,-43.53
0.55,-0.66,2.00,23.93,-69.93,-41.73
0.53,-0.49,1.97,23.43,-68.14,-83.31
0.33,0.03,1.41,13.87,-43.86,-119.09
0.02,0.42,1.14,-5.98,-7.60,-111.15
-0.05,0.46,1.31,-31.83,27.79,-58.77
0.02,0.14,1.53,-24.44,42.13,-16.37
0.06,-0.22,1.58,-11.57,34.16,-6.04
-0.06,-0.25,1.47,21.21,30.93,-16.56
-0.35,-0.03,1.27,36.76,22.52,-4.65
-0.55,-0.06,1.19,45.31,5.81,37.03
-0.49,-0.25,0.99,60.12,-11.41,63.98
-0.33,-0.09,0.87,61.61,-7.30,59.50
-0.65,0.57,0.66,49.06,5.30,55.37
-0.87,0.53,1.36,-63.76,-8.07,159.79
-0.27,-0.02,1.57,-62.68,-29.24,236.63
0.03,-0.73,1.86,-64.34,13.14,249.90
0.41,-0.77,2.00,-67.61,34.06,219.93
0.55,-0.40,2.00,-13.78,18.90,178.67
0.50,-0.17,2.00,-8.95,33.46,155.13
0.33,-0.09,2.00,-35.73,66.60,145.03
0.23,0.19,2.00,-18.26,56.69,149.49
0.15,0.28,2.00,32.65,9.64,172.33
0.18,0.01,1.98,26.96,-22.20,199.01
0.28,-0.18,1.45,37.77,-19.00,195.78
0.30,-0.11,1.18,54.12,16.94,178.87
0.31,-0.07,1.07,68.58,41.28,166.75
0.36,-0.04,0.96,74.97,32.42,156.28
0.48,-0.08,0.70,74.34,5.84,143.23
0.57,-0.16,0.40,92.35,11.56,107.67
0.60,0.07,0.60,81.21,18.08,79.74
0.83,0.37,0.66,54.89,-14.53,56.22
0.85,0.66,0.67,25.22,2.17,28.04
0.58,0.47,1.57,-19.31,48.95,42.62
0.51,0.15,2.00,-18.42,75.91,60.69
0.50,-0.55,2.00,-36.84,-4.87,57.11
0.70,-0.82,2.00,-33.42,-72.72,-10.60
0.29,-0.27,2.00,0.01,-57.77,-86.28
-0.29,0.33,1.81,-8.31,8.42,-93.94
-0.56,0.49,1.90,-33.71,42.95,-44.95
-0.49,0.24,2.00,-22.82,26.83,11.37
-0.33,-0.08,1.66,-2.86,-9.25,39.72
-0.24,-0.38,1.26,15.35,-26.23,32.78
-0.37,-0.12,0.94,48.41,-6.84,17.16
-0.63,0.25,0.89,76.37,23.75,47.12
-0.75,0.27,1.07,97.47,39.53,123.36
-0.57,-0.36,1.37,88.10,21.07,195.33
-0.36,-0.96,1.42,108.09,-8.28,195.56
-0.10,-0.47,1.15,136.72,-18.67,150.99
-0.54,0.41,1.15,102.14,-11.01,161.23
-0.43,0.05,1.83,-12.17,-25.92,249.99
0.26,-0.91,2.00,-1.06,-18.10,249.99
0.69,-1.20,2.00,5.44,-42.05,249.99
0.71,-0.75,2.00,-4.10,-61.65,196.57
0.45,-0.34,2.00,34.32,-18.46,155.33
0.16,0.03,2.00,49.82,33.26,141.24
-0.07,0.30,2.00,48.33,40.66,158.27
0.02,0.29,2.00,45.31,5.33,197.52
0.31,0.08,1.56,45.39,-33.12,226.33
0.55,-0.25,1.29,73.37,-28.62,212.94
0.56,-0.15,1.04,126.72,-2.39,185.61
0.50,-0.10,0.95,146.50,1.78,182.88
0.51,-0.19,0.90,151.97,-15.14,183.75
0.52,-0.42,0.86,144.32,-42.18,158.64
0.40,-0.24,0.81,159.58,-55.98,116.27
0.20,0.43,0.83,146.82,-66.48,103.25
-0.08,0.78,1.10,114.81,-44.77,152.66
-0.08,0.29,1.80,110.76,40.43,209.80
0.04,-0.35,2.00,16.93,42.47,249.99
0.56,-1.29,2.00,-58.17,-82.98,249.99
0.78,-0.88,2.00,18.79,-139.43,160.00
0.47,0.02,1.25,72.03,-30.23,79.62
0.08,0.48,1.25,75.80,137.47,78.87
-0.08,0.32,1.88,58.74,232.09,123.47
-0.11,0.08,2.00,110.57,202.72,160.96
0.04,-0.30,1.84,112.89,106.09,187.95
0.09,-0.58,1.22,106.99,50.80,182.43
-0.01,-0.57,0.88,132.71,87.86,181.02
-0.05,-0.54,1.04,150.78,130.86,197.58
0.18,-0.39,0.97,134.54,110.67,212.26
0.16,-0.15,0.85,92.88,83.99,209.46
0.02,-0.06,1.11,9.64,65.07,249.97
0.37,-0.12,1.60,-4.46,52.68,249.99
0.63,0.04,1.49,0.85,22.96,249.99
0.88,0.03,1.51,-89.42,-20.94,227.29
0.86,0.13,1.83,-128.27,-20.26,170.84
0.77,0.32,2.00,-100.36,14.40,114.79
0.56,0.39,2.00,-45.43,31.26,69.11
0.17,0.42,2.00,23.58,7.84,40.36
-0.14,0.34,2.00,39.83,-41.19,50.47
-0.34,0.15,1.78,42.18,-67.89,73.44
-0.38,0.02,1.53,48.32,-56.31,92.67
-0.46,-0.03,1.44,74.34,-21.89,113.71
-0.45,-0.09,1.41,104.23,12.51,146.96
-0.32,-0.09,1.29,99.40,24.02,172.84
-0.16,-0.13,1.20,56.69,25.20,186.72
-0.02,-0.01,1.06,47.94,52.56,187.24
0.05,0.17,0.95,49.23,107.84,197.89
0.19,0.22,1.09,22.88,144.55,220.03
0.49,0.01,1.27,-34.61,143.42,226.62
0.79,-0.24,1.53,-90.73,129.83,203.63
1.01,-0.22,1.89,-107.14,119.84,164.25
1.10,-0.07,1.99,-45.14,122.67,123.66
1.15,0.02,1.69,10.31,134.92,85.72
1.23,-0.05,1.68,26.65,145.81,40.59
1.32,-0.08,1.98,-10.06,107.72,-7.03
1.33,-0.10,2.00,-32.15,41.67,-50.38
1.28,-0.17,2.00,13.18,12.28,-86.52
1.25,-0.51,2.00,23.47,-4.04,-108.67
1.06,-1.08,2.00,44.93,-44.78,-160.59
0.69,-0.99,2.00,42.67,-119.86,-202.69
0.38,-1.17,2.00,10.73,-160.63,-200.94
0.16,-1.47,2.00,17.28,-141.48,-195.76
-0.00,-1.24,1.91,10.22,-152.67,-201.61
-0.25,-0.87,1.77,-30.23,-167.69,-199.31
-0.70,-0.50,1.90,-35.87,-161.10,-190.83
-0.90,-0.12,1.69,15.36,-140.05,-159.61
-0.80,-0.09,1.58,40.99,-114.89,-115.84
-0.57,-0.45,1.67,12.46,-98.06,-98.88
-0.52,-0.40,1.63,-13.87,-92.85,-125.45
-0.67,0.09,1.35,7.91,-56.59,-152.57
-0.73,0.69,1.03,65.82,17.56,-123.59
-0.36,0.67,0.86,51.93,85.91,-52.32
-0.25,0.25,1.24,31.21,139.78,-36.69
-0.24,0.32,1.22,28.82,118.20,-92.76
-0.26,1.35,0.82,2.70,108.60,-88.77
0.18,1.26,1.56,-134.30,49.55,32.29
0.75,0.57,1.38,-128.43,-21.16,96.87
1.52,-0.23,1.11,-135.57,-57.30,71.15
1.90,-0.49,1.32,-92.83,-50.87,-46.20
1.50,-0.10,1.48,-18.36,-34.97,-144.42
1.17,0.08,1.36,71.20,-52.81,-180.71
1.09,-0.06,1.25,104.74,-37.42,-196.67
1.04,-0.30,1.59,72.46,-31.52,-220.54
0.92,-0.07,2.00,44.44,-72.01,-235.66
0.72,0.17,2.00,56.20,-83.88,-219.09
0.59,-0.12,2.00,33.62,-99.78,-164.51
0.81,-0.30,1.97,66.34,-82.90,-135.18
0.82,-0.41,1.80,64.80,-80.88,-134.47
0.61,-0.33,1.61,13.20,-93.70,-133.30
