accX,accY,accZ,gyroX,gyroY,gyroZ
0.18,0.20,1.61,-0.04,-2.45,0.44
0.18,0.20,1.61,-0.05,-2.39,0.55
0.18,0.20,1.61,0.01,-2.22,0.60
0.18,0.20,1.61,-0.05,-2.41,0.53
0.18,0.20,1.61,-0.03,-2.21,0.41
0.18,0.21,1.61,-0.09,-2.30,0.53
0.18,0.20,1.61,0.10,-2.26,0.43
0.18,0.20,1.61,-0.18,-2.47,0.51
0.18,0.21,1.61,0.11,-2.32,0.45
0.18,0.20,1.61,-0.14,-2.53,0.53
0.18,0.20,1.61,-0.15,-2.14,0.54
0.18,0.20,1.61,-0.12,-2.14,0.49
0.18,0.20,1.61,0.06,-2.54,0.57
0.18,0.20,1.61,0.03,-2.38,0.57
0.18,0.20,1.61,0.03,-2.30,0.51
0.18,0.20,1.61,-0.10,-2.46,0.43
0.18,0.20,1.61,0.06,-2.31,0.47
0.18,0.20,1.61,-0.02,-2.29,0.48
0.18,0.20,1.61,-0.05,-2.34,0.49
0.18,0.20,1.61,-0.11,-2.41,0.45
0.18,0.20,1.61,-0.09,-2.28,0.47
0.18,0.20,1.61,0.03,-2.17,0.55
0.18,0.20,1.61,0.02,-2.42,0.52
0.18,0.20,1.61,0.10,-2.48,0.53
0.18,0.20,1.61,-0.25,-2.31,0.54
0.18,0.20,1.61,-0.18,-2.14,0.61
0.18,0.20,1.61,-0.23,-2.49,0.50
0.18,0.20,1.61,0.03,-2.32,0.52
0.18,0.20,1.61,-0.05,-2.35,0.49
0.18,0.20,1.61,-0.05,-2.30,0.56
0.18,0.20,1.61,-0.09,-2.33,0.53
0.18,0.20,1.61,0.03,-2.31,0.52
0.18,0.20,1.61,-0.08,-2.38,0.48
0.18,0.20,1.61,-0.13,-2.40,0.50
0.18,0.20,1.61,-0.05,-2.20,0.48
0.18,0.20,1.61,-0.08,-2.31,0.51
0.18,0.20,1.61,-0.18,-2.23,0.63
0.18,0.20,1.61,-0.15,-2.24,0.51
0.18,0.20,1.61,-0.06,-2.33,0.53
0.18,0.20,1.61,0.00,-2.63,0.53
0.18,0.20,1.61,0.05,-2.22,0.42
0.18,0.20,1.61,-0.09,-2.41,0.52
0.18,0.20,1.61,0.04,-2.43,0.50
0.18,0.21,1.61,-0.02,-2.42,0.42
0.18,0.20,1.61,-0.12,-2.46,0.44
0.18,0.20,1.61,-0.15,-2.25,0.56
0.18,0.20,1.61,-0.02,-2.27,0.57
0.18,0.20,1.61,-0.02,-2.61,0.50
0.17,0.20,1.61,0.04,-2.30,0.46
0.18,0.20,1.61,-0.08,-2.13,0.50
0.18,0.20,1.61,0.10,-2.30,0.48
0.18,0.20,1.61,-0.14,-2.56,0.56
0.18,0.20,1.61,-0.05,-2.16,0.50
0.18,0.20,1.61,-0.12,-2.20,0.53
0.18,0.20,1.61,-0.02,-2.38,0.50
0.18,0.20,1.61,-0.17,-2.46,0.50
0.18,0.20,1.61,-0.01,-2.37,0.50
0.18,0.20,1.61,-0.01,-2.37,0.50
0.18,0.20,1.61,-0.03,-2.15,0.56
0.18,0.20,1.61,-0.01,-2.37,0.53
0.18,0.20,1.61,0.03,-2.31,0.47
0.18,0.20,1.61,-0.10,-2.38,0.49
0.18,0.21,1.61,0.02,-2.04,0.50
0.18,0.20,1.61,-0.02,-2.37,0.49
0.18,0.20,1.61,-0.08,-2.30,0.50
0.18,0.20,1.61,-0.01,-2.25,0.48
0.18,0.20,1.61,-0.16,-2.53,0.49
0.18,0.20,1.61,-0.02,-2.11,0.44
0.18,0.20,1.61,-0.03,-2.17,0.50
0.18,0.20,1.61,0.04,-2.37,0.50
0.18,0.20,1.61,-0.01,-2.46,0.50
0.18,0.20,1.61,0.01,-2.27,0.54
0.18,0.20,1.61,-0.05,-2.40,0.47
0.18,0.20,1.61,-0.02,-2.21,0.56
0.18,0.20,1.61,-0.14,-2.42,0.57
0.18,0.20,1.61,0.09,-2.38,0.40
0.18,0.20,1.61,-0.18,-2.51,0.50
0.18,0.20,1.61,0.09,-2.26,0.44
0.18,0.20,1.61,-0.05,-2.63,0.50
0.17,0.20,1.61,0.11,-2.33,0.47
0.18,0.20,1.61,-0.04,-2.28,0.49
0.18,0.20,1.61,0.05,-2.37,0.49
0.18,0.20,1.61,-0.09,-2.44,0.63
0.18,0.20,1.61,0.01,-2.06,0.56
0.18,0.20,1.61,-0.11,-2.45,0.57
0.18,0.20,1.61,-0.03,-2.42,0.53
0.18,0.20,1.61,0.01,-2.35,0.52
0.18,0.20,1.61,-0.01,-2.23,0.52
0.18,0.20,1.61,-0.06,-2.49,0.43
0.18,0.20,1.61,0.21,-2.31,0.47
0.18,0.20,1.61,-0.19,-2.48,0.49
0.18,0.20,1.61,-0.14,-2.15,0.44
0.18,0.20,1.61,-0.19,-2.20,0.54
0.18,0.20,1.61,-0.15,-2.53,0.53
0.18,0.20,1.61,-0.07,-2.20,0.53
0.18,0.20,1.61,0.14,-2.16,0.57
0.18,0.20,1.61,-0.05,-2.62,0.49
0.18,0.20,1.61,0.16,-2.29,0.40
0.18,0.20,1.61,-0.02,-2.33,0.50
0.18,0.20,1.61,0.01,-2.33,0.58
0.18,0.20,1.61,-0.16,-2.50,0.46
0.18,0.20,1.61,-0.11,-2.25,0.50
0.18,0.20,1.61,-0.19,-2.28,0.43
0.18,0.20,1.61,-0.02,-2.24,0.50
0.18,0.20,1.61,-0.02,-2.42,0.46
0.18,0.20,1.61,-0.03,-2.36,0.48
0.18,0.20,1.61,0.06,-2.17,0.50
0.18,0.20,1.61,-0.03,-2.56,0.53
0.18,0.20,1.61,0.07,-2.23,0.43
0.18,0.20,1.61,-0.10,-2.27,0.55
0.18,0.20,1.61,-0.15,-2.39,0.52
0.18,0.20,1.61,-0.08,-2.24,0.51
0.18,0.20,1.61,-0.04,-2.12,0.47
0.18,0.20,1.61,-0.17,-2.55,0.52
0.17,0.20,1.61,0.15,-2.11,0.49
0.18,0.20,1.61,-0.16,-2.46,0.56
0.18,0.20,1.61,0.19,-2.46,0.50
0.18,0.20,1.61,-0.08,-2.47,0.56
0.18,0.20,1.61,0.03,-2.09,0.49
0.18,0.21,1.61,-0.11,-2.23,0.51
0.18,0.20,1.61,0.05,-2.46,0.49
0.18,0.21,1.61,-0.11,-2.24,0.52
0.18,0.20,1.61,-0.08,-2.24,0.53
0.18,0.20,1.61,0.02,-2.35,0.47
0.18,0.20,1.61,0.01,-2.33,0.52
0.18,0.20,1.61,0.03,-2.36,0.53
0.18,0.20,1.61,-0.10,-2.21,0.53
0.18,0.20,1.61,-0.05,-2.23,0.53
0.18,0.20,1.61,-0.08,-2.30,0.53
0.18,0.20,1.61,0.06,-2.26,0.46
