accX,accY,accZ,gyroX,gyroY,gyroZ
0.40,-0.25,1.56,-57.88,3.40,4.40
0.39,-0.25,1.56,-39.57,9.46,-3.80
0.40,-0.27,1.53,-27.44,-2.56,-7.51
0.44,-0.30,1.57,-28.69,2.49,-13.22
0.44,-0.31,1.57,-24.96,2.08,-17.58
0.45,-0.31,1.59,-21.03,8.46,-20.09
0.41,-0.29,1.60,-4.23,11.22,-22.52
0.40,-0.29,1.54,17.69,-9.81,-29.69
0.42,-0.28,1.54,14.05,-1.40,-24.91
0.37,-0.21,1.58,18.46,12.50,-26.90
0.34,-0.18,1.54,15.38,-5.92,-15.40
0.36,-0.22,1.51,12.29,-29.83,-0.53
0.42,-0.26,1.47,8.78,-13.37,-1.30
0.44,-0.27,1.46,7.60,-3.22,-10.13
0.44,-0.23,1.55,0.50,-5.18,-6.91
0.49,-0.22,1.55,-3.08,-20.04,7.13
0.46,-0.26,1.49,-9.97,-23.46,18.41
0.46,-0.30,1.48,-20.36,-19.62,24.36
0.48,-0.32,1.51,-4.68,-15.81,11.36
0.51,-0.28,1.57,8.61,-7.60,-7.73
0.46,-0.23,1.60,36.00,-18.32,-9.75
0.53,-0.21,1.66,44.59,7.06,-5.08
0.40,-0.22,1.67,8.77,1.46,0.15
0.49,-0.28,1.58,-28.89,-61.26,6.02
0.53,-0.33,1.44,-13.32,-45.67,-4.82
0.49,-0.29,1.47,-7.89,-20.51,-14.98
0.46,-0.23,1.49,-0.66,-6.33,-18.57
0.49,-0.24,1.47,5.33,-0.92,-19.14
0.49,-0.26,1.44,-0.24,3.97,-18.79
0.48,-0.24,1.44,-14.87,3.04,-9.18
0.53,-0.25,1.45,-19.46,-3.74,0.31
0.56,-0.26,1.48,-22.33,11.88,2.42
0.58,-0.26,1.52,-33.44,28.32,13.79
0.52,-0.28,1.51,-39.28,18.99,30.83
0.50,-0.32,1.44,-46.98,-13.60,35.01
0.56,-0.40,1.45,-50.80,-12.37,22.13
0.51,-0.38,1.47,-34.50,-26.14,-6.57
0.51,-0.24,1.49,-6.94,-83.45,-24.32
0.53,-0.35,1.52,-13.47,-101.54,-25.41
0.58,-0.42,1.66,8.57,-113.81,-14.42
0.69,-0.31,1.73,-4.78,-99.14,-6.99
0.76,-0.40,1.81,0.82,-90.61,-20.74
0.78,-0.41,1.81,11.68,-101.14,-30.11
0.87,-0.47,1.84,15.70,-134.89,-37.08
0.96,-0.61,1.58,6.68,-209.53,-51.06
0.61,-0.42,1.15,10.77,-235.89,-60.23
0.52,-0.19,1.02,11.50,-223.01,-42.21
0.44,-0.16,0.76,27.63,-231.58,-20.64
0.38,-0.14,0.50,42.20,-232.28,-25.36
0.42,-0.10,0.47,28.34,-190.73,-29.79
0.42,0.04,0.53,4.97,-162.12,-29.19
0.44,0.13,0.66,0.67,-109.62,-15.59
0.51,0.15,0.81,31.54,-69.75,18.71
0.88,-0.20,0.70,54.61,-69.93,71.41
1.23,-0.54,0.66,50.18,-34.39,60.00
1.43,-0.55,0.90,9.25,22.52,27.64
1.37,-0.50,1.07,-35.24,3.60,30.85
1.23,-0.33,1.11,-34.02,10.37,13.05
0.97,-0.15,1.05,-21.35,36.90,-2.15
0.87,-0.08,1.05,-18.14,36.64,4.87
0.85,-0.01,1.01,3.33,30.76,8.48
0.80,-0.05,1.05,30.68,79.50,-0.80
0.93,-0.23,1.04,69.47,32.46,3.53
